Dimension,Name,Adjective,Demonym
City,Locarno,Locarnese,
City,London,Londoner,Londoner
City,Londrina,Londrinense,Londrinense
City,Los Angeles,"Los Angeleno, Angeleno, Angeleño","Los Angeleno, Angeleno, Ángeleño"
City,Louisville,Louisvillian,Louisvillian
City,Lucca,Lucchese,Lucchesi
City,Lugano,Luganese,
City,Luton,Lutonian,Lutonian
City,Lviv,"Lvivite, Lvivian, Leopolitan","Lvivite, Lvivian, Leopolitan, Lemberger, Ukrainian Lvivianyn , Lvivianka "
City,"Lyon, Lyons","Lyonese, Lyonnais","Lyonese, Lyonnais"
City,Macau,Macanese,Macanese
City,Mackay,Mackayite,Mackayite
City,Madrid,"Madrilenian, Madrileño","Madrilenian, Madrileño"
City,Malacca,Malaccan,Malaccan
City,Málaga,"Malagenean, Malagueño, Malacitano","Malagenean, Malagueño, Malacitano"
City,Malatya,Malatyan,Malatyan
City,Manaus,"Manauara, Manauense","Manauara, Manauense"
City,Manchester,Mancunian,"Mancunian, Manc"
City,Manila,"Manileño, Manilan",Manileño
City,Manisa,Manisanian,Manisanian
City,Mantua,Mantuan,Mantuan
City,Marathon,Marathonian,Marathonian
City,Mardin,Mardinian,Mardinian
City,Marmaris,Marmarisian,Marmarisian
City,Marseille,Marseillais,Marseillais
City,Marshall,"Marshall, Marshallite",Marshallite
City,Masbate,Masbateño,Masbateño
City,Mersin,Mersinite,Mersinite
City,Mecca,Meccan,Meccan
City,Medellín,Paisa,Paisa
City,Medina,Medinan,Medinan
City,Megara,Megarian,Megarian
City,Melbourne,Melburnian,"Melburnian, Melbournite"
City,Memphis,Memphian,Memphian
City,Mendrisio,"Mendrisiense, Mendrisiotto",
City,Mersin,Mersinite,Mersinite
City,Messina,Messinese,Messinese
City,Mexico City,Capitalino,"Capitalino, Chilango, Defeño"
City,Miami,Miamian,Miamian
City,Michigan,Michiganian,"Michigander, Yooper"
City,Middlesbrough,,Smoggie
City,Milan,Milanese,Milanese
City,Milan,,"Milanites, Milaner"
City,Milwaukee,Milwaukeean,Milwaukeean
City,Misrata,Misratan,Misratan
City,Minneapolis,Minneapolitan,Minneapolitan
City,Minot,Minotian,Minoter
City,Mississauga,Mississaugan,
City,Modena,Modenese,Modenese
City,Mogi Guaçu,Guaçuano,Guaçuano
City,Mogi Mirim,Mogimiriano,Mogimiriano
City,Monaco,Monegasque,"Monegasque, Monacoan"
City,Monrovia,Monrovian,Monrovian
City,Monterrey,Regiomontano,Regiomontano
City,Montevideo,Montevidean,"Montevideano , Montevideana "
City,Montreal,Montrealer,"Montrealer, Montréalais"
City,Moose Jaw,Moose Jaw,Moose Javians
City,Morphou,Morfitis,Morfitis
City,Moscow,Muscovite,Muscovite
City,Muğla,Mughlanian,Mughlanian
City,Mumbai,Mumbaikar,Mumbaikar
City,Muncie,Munsonian,Munsonian
City,Munich,Münchner,Münchner
City,Mymensingh,Mymensinghi,"Mymensinghi, Mymensinghiya, Mymensinghiyo"
City,Mysore,Mysorean,"Mysorean, Mysurinavaru, Mysuriga"
City,Naga,Nagueño,Nagueño
City,Nagoya,Nagoyan,Nagoyan
City,Nanaimo,Nanaimoite,Nanaimoite
City,"Nanjing, Nanking",Nankinese,Nankinese
City,Napier,Napieran,"Napieran, Naperian"
City,Naples,Neapolitan,Neapolitan
City,Nashville,Nashvillian,Nashvillian
City,Nassau,Nassuvian,Nassuvian
City,Navarre,Navarrian,Navarrian
City,Nazareth,Nazarene,Nazarene
City,Nelson,Nelson,Nelsonian
City,Netanya,"Netanyan, Netanian","Netanyan, Netanian"
City,Newport,Newportonian,"Newportonian, Newporter"
City,New Orleans,New Orleanian,"New Orleanian, New Orleaner, Yat"
City,New York City,New Yorker,"New Yorker, Knickerbocker"
City,The Bronx,Bronxite,"Bronxite, Bronxer"
City,Brooklyn,Brooklynite,"Brooklynite, Trolley Dodger"
City,Manhattan,Manhattanite,Manhattanite
City,Queens,Queensite,Queensite
City,Staten Island,Staten Islander,Staten Islander
City,Newcastle,Novocastrian,Novocastrian
City,Newcastle upon Tyne,"Novocastrian, Geordie","Novocastrian, Geordie"
City,Nice,Niçois,Niçois
City,Nicosia,Nicosian,Nicosian
City,Norfolk,"Norfolker, Norfolkian","Norfolker, Norfolkian"
City,Northampton,Northamptonian,Northamptonian
City,Novara,Novarese,Novarese
City,Nuremberg,"Nuremberger, Nürnberger","Nuremberger, Nürnberger"
City,Oakbank,Oakbankian,Oakbankian
City,Oakland,Oaklander,Oaklander
City,Oamaru,"Oamaru, Oamaruvian",Oamaruvian
City,Oaxaca,Oaxacan,Oaxaqueño
City,"Odessa, Odesa","Odessan, Odessite, Odesan","Odessan, Odessite, Odesan, Ukrainian Odesyt , Odesytka "
City,Oklahoma City,Oklahoma Cityan,Oklahoma Cityan
City,Omak,Omakian,Omakian
City,Ordu,Ordunite,Ordunite
City,Orléans,Orléanais,Orléanais
City,Osaka,Osakan,"Naniwakko, Osakan"
City,Oshawa,Oshawian,Oshawian
City,Oslo,Oslovian,"Oslovian, Osloer"
City,Oswestry,Oswestrian,Oswestrian
City,Ottawa,Ottawan,Ottawan
City,Oxford,Oxonian,Oxonian
City,Paddock Lake,Paddock Laker,Paddock Laker
City,Padua,Paduan,Paduan
City,Paducah,Paducahan,Paducahan
City,Paita,"Paiteño , Paiteña ","Paiteño , Paiteña "
City,Panaji,Panjimite,"Ponnjekar, Panjimite"
City,Paphos,Paphian,Paphian
City,Palermo,Palermitan,Palermitan
City,Palmerston North,Palmerstonian,Palmerstonian
City,Palmyra,Palmyrene,Palmyrene
City,Paris,Parisian,Parisian
City,Parma,Parmesan,Parmesan
City,Penang,Penangite,Penangite
City,Pescara,Pescarese,Pescarese
City,Perth,"Perthite, Perthian, Perthling, Perthonality, Pertho, Perthie","Perthite, Perthian, Perthling, Perthonality, Perthette"
City,Perugia,Perugian,Perugian
City,Peterborough,Peterbourian,Peterbourian
City,Philadelphia,Philadelphian,Philadelphian
City,Phnom Penh,Phnom Penh,Phnom Penher
City,Phoenix,"Phoenician, Phoenixer","Phoenician, Phoenixer"
City,Pissouri,Pissouriti,Pissouriti
City,Pisa,Pisan,Pisan
City,Pittsburgh,Pittsburgher,"Pittsburgher, Yinzer"
City,Plymouth,Plymothian,"Plymothian, Janner"
City,Pohang,Pohang,Pohangite
City,Polmont,Polmontarian,Polmontarian
City,Pompeii,"Pompeian, Pompeiian","Pompeian, Pompeiian"
City,Ponferrada,Ponferradian,Ponferradian
City,Pont-à-Mousson,Mussipontain,M ussipontain
City,Port Harcourt,"Harcourtian, Port Harcourtian","Harcourtian, Port Harcourtian"
City,Port Moresby,Port Moresbian,Port Moresbian
City,Porto,Portuense,"Portuense, Tripeiro"
City,Podgorica,Podgorician,Podgorician
City,Porto Alegre,Porto-Alegrense,Porto-Alegrense
City,Porto Cheli,Porto-Cheliki,Porto-Cheliki
City,Portland,Portlander,Portlander
City,Portsmouth,Portsmouthian,Portsmouthian
City,Prague,Praguer,Praguer
City,Preston,Prestonian,Prestonian
City,Pripyat,Pripyatin,Pripyatin
City,Pristina,,"Prishtinali, Prishtina, Prištinci, Prištevci"
City,Providence,Providentian,Providentian
City,Provo,Provoan,Provoan
City,Puebla,Poblano,Poblano
City,Punta Arenas,Puntarenian,Puntarenian
City,Pylos,Pylian,Pylian
City,Quebec City,Québécois,Québécois
City,Quito,Quitonian,"Quiteño , Quiteña "
City,Rajshahi,Rajshahiyo,"Rajshahiya, Rajshahiyo"
City,Radnor,Radnorian,Radnorian
City,Raleigh,Raleighite,Raleighite
City,Randall,Randallite,Randallite
City,Rangpur City,Rangpuri,"Rongpuri, Rangpuri"
City,Reading,Readingite,Readingite
City,Red Deer,Red Deerian,Red Deerian
City,Regina,"Regina, Reginan",Reginan
City,Reno,Renoite,"Renoite, Riennese, Renal"
City,Rethymno,Rethymnian,Rethymnian
City,"Reims, Rheims","Rémois, Cornichon",Rémois
City,Reykjavík,Reykjavikian,Reykjavikian
City,Ribeirão Preto,Ribeirão Pretano,Ribeirão Pretano
City,Richmond,Richmonder,Richmonder
City,Riga,Rigan,Rigan
City,Rio de Janeiro,Carioca,Carioca
City,Rhodes,Rhodian,Rhodian
City,Roanoke,Roanoker,Roanoker
City,Rochester,Rochesterian,Rochesterian
City,Rockhampton,Rockhampton,Rockhamptonite
City,Rome,Roman,Roman
City,Rotorua,Rotoruan,Rotoruan
City,Rotterdam,Rotter,Rotterdammer
City,Rouen,Rouennais,Rouennais
City,Rye,Ryer,"Ryer, Mudhead"
City,Sacramento,Sacramentan,Sacramentan
City,Saint Helier,Saint-Helian,Saint-Helian
City,Saint-Étienne,Stéphanois,Stéphanois
City,Saint-Jude,Rocquevillois,Rocquevillois
City,Saint Paul,"Saint Paulite, St. Paulite","Saint Paulite, St. Paulite"
City,Saint Petersburg,Saint Petersburgian,"Saint Petersburgian, Saint Petersburger, Petersburger"
City,Salem,Salemite,Salemite
City,Salerno,Salernitan,Salernitan
City,Salford,Salfordian,Salfordian
City,Salt Lake City,Salt Lake,Salt Laker
City,Salvador,Soteropolitano,Soteropolitano
City,Salzburg,Salzburger,Salzburger
City,Sambalpur,Sambalpuria,Sambalpuria
City,Samsun,Samsunite,Samsunite
City,San Antonio,San Antonian,San Antonian
City,San Diego,San Diegan,San Diegan
City,San Francisco,San Franciscan,San Franciscan
City,San Jose,San Josean,San Josean
City,Şanlıurfa,Urfanian,Urfanian
City,Santa Barbara,Santa Barbarian,Santa Barbaran
City,Santa Clarita,Santa Claritan,Santa Claritan
City,Santa Cruz de la Sierra,Cruceño,Cruceño
City,Santa Monica,Santa Monican,Santa Monican
City,Santiago,"Santiaguinos , Santiaguinas ","Santiaguinos , Santiaguinas "
City,São Carlos,"Sãocarlense, Carlopolitano","Sãocarlense, Carlopolitano"
City,São Luís,Ludovicense,Ludovicense
City,São Paulo,Paulistano,Paulistano
City,Sapporo,,Sapporokko
City,Sarajevo,Sarajevan,Sarajevan
City,Saskatoon,"Saskatoon, Saskatonian","Saskatonian, Saskabusher"
City,Sault Ste. Marie,"Sooite, Saultite",Soos
City,Savannah,Savannian,Savannian
City,Seattle,Seattleite,Seattleite
City,Sendai,,Sendaikko
City,Seoul,Seoulite,Seoulite
City,Serra Negra,Serrano,Serrano
City,Serres,Serrean,Serrean
City,Seville,"Sevillian, Sevillano, Hispalense","Sevillian, Sevillano, Hispalense"
City,Shanghai,Shanghainese,"Shanghainese, Shanghailander"
City,Sheffield,,Sheffielder
City,Shillong,,nong Shillong
City,Shkoder,Shkodran,Shkodran
City,Shrewsbury,Salopian,Salopian
City,Side,Sidetan,Sidetan
City,"Siena, Sienna","Sienese, Siennese","Sienese, Siennese"
City,Silver Lake,Silver Laker,Silver Laker
City,Singapore,Singaporean,Singaporean
City,Skopje,Skopjan,Skopjan
City,Slough,Sluff,Sluff
City,Sofia,Sofian,Sofian
City,Solihull,Silhillian,Silhillian
City,Somers,Somersite,Somersite
City,Sorrento,Sorrentine,Sorrentine
City,Sorsogon,Sorsoganon,Sorsoganon
City,Southampton,Sotonian,Sotonian
City,Soweto,Sowetan,Sowetan
City,Sparta,Spartan,Spartan
City,Spokane,,Spokanite
City,Spoleto,Spoletian,Spoletian
City,St. Louis,St. Louisan,St. Louisan
City,Stockholm,Stockholmer,Stockholmer
City,Strasbourg,Strasbourgeois,Strasbourgeois
City,Stuttgart,Stuttgarter,Stuttgarter
City,Sunderland,,Mackem
City,Sunshine Coast,Sunshine Coast,Sunshine Coaster
City,Swansea,Jack@,Jack@
City,Swindon,Swindonian,Swindonian
City,Sydney,,Sydneysider
City,Sylhet,Sylheti,"Sylheti, Siloti, Sileti"
City,Syracuse,Syracusan,Syracusan
City,Syracuse,Syracusian,Syracusian
City,Tabaco,Tabaqueño,Tabaqueño
City,Tacna,"Tacneño , Tacneña ","Tacneño , Tacneña "
City,Tacoma,Tacoman,Tacoman
City,Tallahassee,Tallahasseean,Tallahasseean
City,Tallinn,Tallinner,Tallinner
City,Tampa,"Tampan, Tampanian, Tampeño","Tampan, Tampanian, Tampeño , Tampeña "
City,Tartu,Tartuan,Tartuan
City,Taranto,"Tarantine, Tarentine","Tarantine, Tarentine"
City,Tasmania,"Tasman, Tasmanian","Tasmanian, Taswegian"
City,Taunton,Tauntonian,Tauntonian
City,Tauranga,Taurangan,"Taurangian, Taurangan"
City,Tbilisi,Tbilisian,"Tbilisian, Tbiliselebi"
City,Tehran,"Tehrani, Tehranis[circular reference]",Tehrani
City,Tekirdağ,Tekirdanian,Tekirdaninan
City,Tel Aviv,Tel Avivian,"Tel Avivi, Tel Avivian"
City,Thebes,Theban,Theban
City,Thessaloniki,Thessalonian,Thessalonian
City,Thunder Bay,,Thunderbite
City,Timaru,"Timaru, Timaruvian",Timaruvians
City,Tirana,Tiranas,Tirons
City,Tokyo,,"Edokko, Tokyoite"
City,Toowoomba,Toowoomban,Toowoomban
City,Toronto,Torontonian,Torontonian
City,Toulouse,Toulousian,Toulousian
City,Tournai,Tournaisian,Tournaisian
City,Townsville,Townsvillian,Townsvillian
City,Trabzon,"Trabzonian, Trebizonian, Trapezian, Trapezuntine","Trabzonian, Trebizonian, Trapezian, Trapezuntine"
City,Traverse City,Traverse Citian,Traverse Citian
City,Trevor,Trevorite,Trevorite
City,Trent,Tridentine,Tridentine
City,Trieste,Triestine,Triestine
City,Tripoli,Tripolitan,Tripolitan
City,Tripoli,Tripolitano,Tripolitano
City,Trois-Rivières,Trois-rivieran,Trois-rivieran
City,Trois-Rivières,"Trifluvien, Trifluvienne, Trifluvian","Trifluvien, Trifluvienne, Trifluvian"
City,Tucson,Tucsonian,"Tucsonian, Tucsonan"
City,Tulsa,Tulsan,Tulsan
City,Turin,Turinese,Turinese
City,Twin Lakes,Twin Laker,Twin Laker
City,Tyre,Tyrian,Tyrian
City,Uberlândia,Uberlandense,Uberlandense
City,Ulsan,"Ulsan, Ulsanian",Ulsanian
City,Valencia,Valencian,Valencian
City,Valladolid,"Vallisoletano, Pucelano, Pinciano","Vallisoletano, Pucelano, Pinciano"
City,Valparaíso,"Porteño , Porteña ","Porteño , Porteña "
City,Van,Vanian,Vanian
City,Vancouver,Vancouverite,Vancouverite
City,Vancouver,Vancouverite,Vancouverite
City,Venice,Venetian,Venetian
City,Veracruz,Veracruzano,"Veracruzano, Jarocho"
City,Verona,Veronese,Veronese
City,Vicenza,Vicentine,Vicentine
City,Vichy,Vichyssois,Vichyssois
City,Victoria,Victorian,Victorian
City,Vienna,"Viennese, Wiener","Viennese, Wiener"
City,Villanova,Villanovan,Villanovan
City,Ville Platte,Ville Platian,Ville Platian
City,Vilnius,Vilnian,Vilnian
City,Vizag,Vizagite,Vizagite
City,Waco,Wacoite,Wacoite
City,Warangal,Warangalite,Warangalite
City,Warsaw,Varsovian,Varsovian
City,Washington,Washingtonian,Washingtonian
City,Waterbury,Waterburian,Waterburian
City,Waterford,Waterfordian,"Waterfordian, Déise, Suirsider"
City,Waterloo,Waterluvian,Waterluvian
City,Wellington,"Wellington, Wellingtonian",Wellingtonian
City,Wheatland,Wheatlander,Wheatlander
City,Whitehorse,"Whitehorser, Whitehorsian","Whitehorser, Whitehorsian"
City,Wichita,Wichitan,Wichitan
City,Wilmot,Wilmotter,Wilmotter
City,Winchester,,Wintonian
City,Winnipeg,,"Winnipegger, Winnipeger"
City,Wolverhampton,,Wulfrunian
City,Wythenshawe,Wythenshavian,Wythenshavian
City,Xalapa,Xalapeño,Xalapeño
City,Xanthi,Xanthian,Xanthian
City,Yellowknife,Yellowknifer,Yellowknifer
City,Yeosu,"Yeosu, Yeosuite",Yeosuite
City,Yerevan,Yerevantsi,Yerevantsi
City,Yogyakarta,"Yogyakartan, Jogjan","Yogyakartan, Jogjan"
City,Yokohama,Yokohaman,Hamakko
City,Zacatecas,Zacatecan,Zacatecano
City,Zagreb,Zagrebian,"Zagreber, Zagrebian"
City,Zamboanga,Zamboangueño,Zamboangueño
City,Zaragoza,"Zaragozan, Saragossan","Zaragoazan, Saragossan"
City,Zonguldak,Zonguldaki,Zonguldakian
City,Zintan,Zintani,Zintani
City,Zurich,"Zuricher, Zürcher","Zuricher, Zürcher"
City,Zwolle,Zwollenaar,Zwollenaar
Country,Abkhazia,"Abkhaz, Abkhazian",Abkhazians
Country,Afghanistan,Afghan,Afghans
Country,Åland,Åland Island,Ålanders
Country,Albania,Albanian,Albanians
Country,Algeria,Algerian,Algerians
Country,American Samoa,American Samoan,American Samoans
Country,Andorra,Andorran,Andorrans
Country,Angola,Angolan,Angolans
Country,Anguilla,Anguillan,Anguillans
Country,Antarctica[a],Antarctic,Antarcticans
Country,Antigua and Barbuda,"Antiguan, Barbudan","Antiguans, Barbudans"
Country,Argentina,"Argentine, Argentinian","Argentines, Argentinians"
Country,Armenia,Armenian,Armenians
Country,Aruba,Aruban,Arubans
Country,Australia,Australian,Australians
Country,Austria,Austrian,Austrians
Country,Azerbaijan,"Azerbaijani, Azeri","Azerbaijanis, Azeris"
Country,The Bahamas,Bahamian,Bahamians
Country,Bahrain,Bahraini,Bahrainis
Country,Bangladesh,Bangladeshi,Bangladeshis
Country,Barbados,Barbadian,Barbadians
Country,Belarus,Belarusian,Belarusians
Country,Belgium,Belgian,Belgians
Country,Belize,Belizean,Belizeans
Country,Benin,"Beninese, Beninois","Beninese, Beninois"
Country,Bermuda,"Bermudian, Bermudan","Bermudians, Bermudans"
Country,Bhutan,Bhutanese,Bhutanese
Country,Bolivia,Bolivian,Bolivians
Country,Bonaire,"Bonaire, Bonairean",Bonaire Dutch
Country,Bosnia and Herzegovina,"Bosnian, Herzegovinian","Bosnians, Herzegovinians"
Country,Botswana,Botswanian,"Batswana, Motswana, Botswanians"
Country,Bouvet Island,Bouvet Island,Bouvet Islanders
Country,Brazil,Brazilian,Brazilians
Country,British Indian Ocean Territory,BIOT,British
Country,Brunei,Bruneian,Bruneians
Country,Bulgaria,Bulgarian,Bulgarians
Country,Burkina Faso,Burkinabé,"Burkinabè, Burkinabé"
Country,Burma,Burmese,"Burmese, Burman"
Country,Burundi,Burundian,"Burundians, Barundi"
Country,Cabo Verde,Cabo Verdean,Cabo Verdeans
Country,Cambodia,Cambodian,Cambodians
Country,Cameroon,Cameroonian,Cameroonians
Country,Canada,Canadian,Canadians
Country,Cayman Islands,Caymanian,Caymanians
Country,Central African Republic,Central African,Central Africans
Country,Chad,Chadian,Chadians
Country,Chile,Chilean,Chileans
Country,China,Chinese,Chinese
Country,Christmas Island,Christmas Island,Christmas Islanders
Country,Cocos Islands,Cocos Island,Cocos Islanders
Country,Colombia,Colombian,Colombians
Country,Comoros,"Comoran, Comorian","Comorans, Comorians"
Country,Democratic Republic of the Congo,Congolese,Congolese
Country,Republic of the Congo,Congolese,Congolese
Country,Cook Islands,Cook,Cook Islanders
Country,Costa Rica,Costa Rican,Costa Ricans
Country,Croatia,Croatian,"Croatians, Croats"
Country,Cuba,Cuban,Cubans
Country,Curaçao,Curaçaoan,Curaçaoans
Country,Cyprus,Cypriot,Cypriots
Country,Czech Republic,Czech,Czechs
Country,Denmark,Danish,Danes
Country,Djibouti,Djiboutian,Djiboutians
Country,Dominica,Dominican,Dominicans
Country,Dominican Republic,Dominican,Dominicans
Country,East Timor,Timorese,Timorese
Country,Ecuador,Ecuadorian,Ecuadorians
Country,Egypt,Egyptian,Egyptians
Country,El Salvador,Salvadoran,"Salvadorans, Salvadorians, Salvadoreans"
Country,England,English,"English, Englishmen, Englishwomen"
Country,Equatorial Guinea,"Equatorial Guinean, Equatoguinean","Equatorial Guineans, Equatoguineans"
Country,Eritrea,Eritrean,Eritreans
Country,Estonia,Estonian,Estonians
Country,Eswatini,"Swazi, Swati",Swazis
Country,Ethiopia,Ethiopian,"Ethiopians, Habesha"
Country,European Union,European,Europeans
Country,Falkland Islands,Falkland Island,Falkland Islanders
Country,Faroe Islands,Faroese,Faroese
Country,Fiji,Fijian,Fijians
Country,Finland,Finnish,Finns
Country,France,French,"French, Frenchmen, Frenchwomen"
Country,French Guiana,French Guianese,French Guianese
Country,French Polynesia,French Polynesian,French Polynesians
Country,French Southern Territories,French Southern Territories,French
Country,Gabon,Gabonese,"Gabonese, Gabonaise"
Country,The Gambia,Gambian,Gambians
Country,Georgia,Georgian,Georgians
Country,Germany,German,Germans
Country,Ghana,Ghanaian,Ghanaians
Country,Gibraltar,Gibraltar,Gibraltarians
Country,Greece,"Greek, Hellenic","Greeks, Hellenes"
Country,Greenland,Greenland,Greenlanders
Country,Grenada,Grenadian,Grenadians
Country,Guadeloupe,Guadeloupe,"Guadeloupians, Guadeloupeans"
Country,Guam,Guamanian,Guamanians
Country,Guatemala,Guatemalan,Guatemalans
Country,Guernsey,Guernsey,"Guernseyman, Guernseywoman"
Country,Guinea,Guinean,Guineans
Country,Guinea-Bissau,Bissau-Guinean,Bissau-Guineans
Country,Guyana,Guyanese,Guyanese
Country,Haiti,Haitian,Haitians
Country,Heard Island and McDonald Islands,"Heard Island, McDonald Island","Heard Islanders, McDonald Islanders"
Country,Honduras,Honduran,Hondurans
Country,Hong Kong,"Hong Kong, Cantonese, Hong Konger","Hongkongers, Hong Kongese"
Country,Hungary,"Hungarian, Magyar","Hungarians, Magyars"
Country,Iceland,Icelandic,Icelanders
Country,India,Indian,Indians
Country,Indonesia,Indonesian,Indonesians
Country,Iran,"Iranian, Persian","Iranians, Persians"
Country,Iraq,Iraqi,Iraqis
Country,Ireland,Irish,"Irish, Irishmen, Irishwomen"
Country,Isle of Man,Manx,Manx
Country,Israel,"Israeli, Israelite",Israelis
Country,Italy,Italian,Italians
Country,Ivory Coast,Ivorian,Ivorians
Country,Jamaica,Jamaican,Jamaicans
Country,Jan Mayen,Jan Mayen,Jan Mayen
Country,Japan,Japanese,Japanese
Country,Jersey,Jersey,"Jerseyman, Jerseywoman, Jersian, Jèrriais"
Country,Jordan,Jordanian,Jordanians
Country,Kazakhstan,"Kazakhstani, Kazakh","Kazakhstanis, Kazakhs"
Country,Kenya,Kenyan,Kenyans
Country,Kiribati,Kiribati,I-Kiribati
Country,North Korea,North Korean,"Koreans, North Koreans"
Country,South Korea,South Korean,"Koreans, South Koreans"
Country,Kosovo,"Kosovar, Kosovan",Kosovars
Country,Kuwait,Kuwaiti,Kuwaitis
Country,Kyrgyzstan,"Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz","Kyrgyzstanis, Kyrgyz, Kirgiz, Kirghiz"
Country,Laos,"Lao, Laotian","Laos, Laotians"
Country,Latvia,"Latvian, Lettish","Latvians, Letts"
Country,Lebanon,Lebanese,Lebanese
Country,Lesotho,Basotho,"Basotho, Mosotho"
Country,Liberia,Liberian,Liberians
Country,Libya,Libyan,Libyans
Country,Liechtenstein,Liechtensteiner,Liechtensteiners
Country,Lithuania,Lithuanian,Lithuanians
Country,Luxembourg,"Luxembourg, Luxembourgish",Luxembourgers
Country,Macau,Macanese,"Macanese, Chinese"
Country,Madagascar,"Malagasy, Madagascan","Malagasy, Madagascans"
Country,Malawi,Malawian,Malawians
Country,Malaysia,Malaysian,Malaysians
Country,Maldives,Maldivian,Maldivians
Country,Mali,"Malian, Malinese",Malians
Country,Malta,Maltese,Maltese
Country,Marshall Islands,Marshallese,Marshallese
Country,Martinique,"Martiniquais, Martinican","Martiniquais, Martiniquaises"
Country,Mauritania,Mauritanian,Mauritanians
Country,Mauritius,Mauritian,Mauritians
Country,Mayotte,Mahoran,Mahorans
Country,Mexico,Mexican,Mexicans
Country,Micronesia,Micronesian,Micronesians
Country,Moldova,Moldovan,Moldovans
Country,Monaco,"Monégasque, Monacan","Monégasques, Monacans"
Country,Mongolia,Mongolian,"Mongolians, Mongols"
Country,Montenegro,Montenegrin,Montenegrins
Country,Montserrat,Montserratian,Montserratians
Country,Morocco,Moroccan,Moroccans
Country,Mozambique,Mozambican,Mozambicans
Country,Myanmar,"Myanma, Burmese",Myanmars
Country,Namibia,Namibian,Namibians
Country,Nauru,Nauruan,Nauruans
Country,Nepal,"Nepali, Nepalese","Nepalis, Nepalese"
Country,Netherlands,Dutch,"Dutch, Dutchmen, Dutchwomen, Netherlanders"
Country,New Caledonia,New Caledonian,New Caledonians
Country,New Zealand,New Zealand,New Zealanders
Country,Nicaragua,Nicaraguan,Nicaraguans
Country,Niger,Nigerien,Nigeriens
Country,Nigeria,Nigerian,Nigerians
Country,Niue,Niuean,Niueans
Country,Norfolk Island,Norfolk Island,Norfolk Islanders
Country,North Macedonia,Macedonian,Macedonians
Country,Northern Ireland,Northern Irish,"Northern Irish, Northern Irishmen, Northern Irishwomen"
Country,Northern Mariana Islands,Northern Marianan,Northern Marianans
Country,Norway,Norwegian,Norwegians
Country,Oman,Omani,Omanis
Country,Pakistan,Pakistani,Pakistanis
Country,Palau,Palauan,Palauans
Country,Palestine,Palestinian,Palestinians
Country,Panama,Panamanian,Panamanians
Country,Papua New Guinea,"Papua New Guinean, Papuan","Papua New Guineans, Papuans"
Country,Paraguay,Paraguayan,Paraguayans
Country,Peru,Peruvian,Peruvians
Country,Philippines,"Filipino, Philippine","Filipinos, Filipinas"
Country,Pitcairn Islands,Pitcairn Island,Pitcairn Islanders
Country,Poland,Polish,Poles
Country,Portugal,Portuguese,Portuguese
Country,Puerto Rico,Puerto Rican,Puerto Ricans
Country,Qatar,Qatari,Qataris
Country,Réunion,"Réunionese, Réunionnais","Réunionese, Réunionnais, Réunionnaises"
Country,Romania,Romanian,Romanians
Country,Russia,Russian,Russians
Country,Rwanda,Rwandan,"Rwandans, Banyarwanda"
Country,Saba,"Saba, Saban",Saba Dutch
Country,Saint Barthélemy,Barthélemois,"Barthélemois, Barthélemoises"
Country,"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian,Saint Helenians
Country,Saint Kitts and Nevis,"Kittitian, Nevisian","Kittitians, Nevisians"
Country,Saint Lucia,Saint Lucian,Saint Lucians
Country,Saint Martin,Saint-Martinoise,"Saint-Martinois, Saint-Martinoises"
Country,Saint Pierre and Miquelon,"Saint-Pierrais, Miquelonnais","Saint-Pierrais, Saint-Pierraises, Miquelonnais, Miquelonnaises"
Country,Saint Vincent and the Grenadines,"Saint Vincentian, Vincentian","Saint Vincentians, Vincentians"
Country,Sahrawi,"Sahrawi, Western Saharan, Sahrawian","Sahrawis, Western Saharans"
Country,Samoa,Samoan,Samoans
Country,San Marino,Sammarinese,Sammarinese
Country,São Tomé and Príncipe,São Toméan,São Toméans
Country,Saudi Arabia,"Saudi, Saudi Arabian","Saudis, Saudi Arabians"
Country,Scotland,Scottish,"Scots, Scotsmen, Scotswomen"
Country,Senegal,Senegalese,Senegalese
Country,Serbia,Serbian,"Serbs, Serbians"
Country,Seychelles,Seychellois,Seychellois/Seychelloises
Country,Sierra Leone,Sierra Leonean,Sierra Leoneans
Country,Singapore,"Singapore, Singaporean",Singaporeans
Country,Sint Eustatius,"Sint Eustatius, Statian",Statians
Country,Sint Maarten,Sint Maarten,Sint Maarteners
Country,Slovakia,Slovak,"Slovaks, Slovakians"
Country,Slovenia,"Slovenian, Slovene","Slovenes, Slovenians"
Country,Solomon Islands,Solomon Island,Solomon Islanders
Country,Somalia,Somali,Somalis
Country,Somaliland,Somalilander,Somalilanders
Country,South Africa,South African,South Africans
Country,South Georgia and the South Sandwich Islands,"South Georgia Island, South Sandwich Island","South Georgia Islanders, South Sandwich Islanders|"
Country,South Ossetia,South Ossetian,South Ossetians
Country,South Sudan,South Sudanese,South Sudanese
Country,Spain,Spanish,Spaniards
Country,Sri Lanka,Sri Lankan,Sri Lankans
Country,Sudan,Sudanese,Sudanese
Country,Suriname,Surinamese,Surinamers
Country,Svalbard,Svalbard,Svalbard residents
Country,Sweden,Swedish,Swedes
Country,Switzerland,Swiss,Swiss
Country,Syria,Syrian,Syrians
